Season,Location,NumberOfTimes,Column,Row
Thirty-Four,1,0,1,1
Thirty-Four,2,0,2,1
Thirty-Four,3,0,3,1
Thirty-Four,4,0,4,1
Thirty-Four,5,0,5,1
Thirty-Four,6,0,6,1
Thirty-Four,7,12,1,2
Thirty-Four,8,9,2,2
Thirty-Four,9,7,3,2
Thirty-Four,10,12,4,2
Thirty-Four,11,9,5,2
Thirty-Four,12,7,6,2
Thirty-Four,13,28,1,3
Thirty-Four,14,16,2,3
Thirty-Four,15,24,3,3
Thirty-Four,16,21,4,3
Thirty-Four,17,19,5,3
Thirty-Four,18,12,6,3
Thirty-Four,19,21,1,4
Thirty-Four,20,24,2,4
Thirty-Four,21,26,3,4
Thirty-Four,22,22,4,4
Thirty-Four,23,20,5,4
Thirty-Four,24,14,6,4
Thirty-Four,25,15,1,5
Thirty-Four,26,9,2,5
Thirty-Four,27,12,3,5
Thirty-Four,28,19,4,5
Thirty-Four,29,13,5,5
Thirty-Four,30,7,6,5
