Season,Location,NumberOfTimes,Column,Row
Twenty-Nine,1,1,1,1
Twenty-Nine,2,0,2,1
Twenty-Nine,3,0,3,1
Twenty-Nine,4,0,4,1
Twenty-Nine,5,0,5,1
Twenty-Nine,6,0,6,1
Twenty-Nine,7,13,1,2
Twenty-Nine,8,7,2,2
Twenty-Nine,9,5,3,2
Twenty-Nine,10,11,4,2
Twenty-Nine,11,6,5,2
Twenty-Nine,12,7,6,2
Twenty-Nine,13,29,1,3
Twenty-Nine,14,11,2,3
Twenty-Nine,15,31,3,3
Twenty-Nine,16,19,4,3
Twenty-Nine,17,17,5,3
Twenty-Nine,18,11,6,3
Twenty-Nine,19,40,1,4
Twenty-Nine,20,31,2,4
Twenty-Nine,21,49,3,4
Twenty-Nine,22,28,4,4
Twenty-Nine,23,35,5,4
Twenty-Nine,24,11,6,4
Twenty-Nine,25,23,1,5
Twenty-Nine,26,9,2,5
Twenty-Nine,27,17,3,5
Twenty-Nine,28,21,4,5
Twenty-Nine,29,14,5,5
Twenty-Nine,30,12,6,5
