Season,Location,NumberOfTimes,Column,Row
Thirteen,1,0,1,1
Thirteen,2,0,2,1
Thirteen,3,0,3,1
Thirteen,4,0,4,1
Thirteen,5,0,5,1
Thirteen,6,0,6,1
Thirteen,7,3,1,2
Thirteen,8,3,2,2
Thirteen,9,1,3,2
Thirteen,10,4,4,2
Thirteen,11,4,5,2
Thirteen,12,3,6,2
Thirteen,13,10,1,3
Thirteen,14,15,2,3
Thirteen,15,18,3,3
Thirteen,16,18,4,3
Thirteen,17,13,5,3
Thirteen,18,15,6,3
Thirteen,19,31,1,4
Thirteen,20,24,2,4
Thirteen,21,21,3,4
Thirteen,22,29,4,4
Thirteen,23,38,5,4
Thirteen,24,22,6,4
Thirteen,25,26,1,5
Thirteen,26,24,2,5
Thirteen,27,25,3,5
Thirteen,28,20,4,5
Thirteen,29,20,5,5
Thirteen,30,26,6,5
