Season,Location,NumberOfTimes,Column,Row
Fourteen,1,0,1,1
Fourteen,2,0,2,1
Fourteen,3,0,3,1
Fourteen,4,0,4,1
Fourteen,5,0,5,1
Fourteen,6,0,6,1
Fourteen,7,5,1,2
Fourteen,8,8,2,2
Fourteen,9,11,3,2
Fourteen,10,3,4,2
Fourteen,11,8,5,2
Fourteen,12,8,6,2
Fourteen,13,20,1,3
Fourteen,14,20,2,3
Fourteen,15,25,3,3
Fourteen,16,27,4,3
Fourteen,17,20,5,3
Fourteen,18,11,6,3
Fourteen,19,34,1,4
Fourteen,20,28,2,4
Fourteen,21,40,3,4
Fourteen,22,26,4,4
Fourteen,23,20,5,4
Fourteen,24,19,6,4
Fourteen,25,30,1,5
Fourteen,26,15,2,5
Fourteen,27,14,3,5
Fourteen,28,25,4,5
Fourteen,29,22,5,5
Fourteen,30,8,6,5
