Season,Location,NumberOfTimes,Column,Row
Seventeen,1,0,1,1
Seventeen,2,0,2,1
Seventeen,3,0,3,1
Seventeen,4,0,4,1
Seventeen,5,0,5,1
Seventeen,6,0,6,1
Seventeen,7,4,1,2
Seventeen,8,2,2,2
Seventeen,9,4,3,2
Seventeen,10,1,4,2
Seventeen,11,3,5,2
Seventeen,12,0,6,2
Seventeen,13,38,1,3
Seventeen,14,17,2,3
Seventeen,15,25,3,3
Seventeen,16,26,4,3
Seventeen,17,30,5,3
Seventeen,18,15,6,3
Seventeen,19,43,1,4
Seventeen,20,29,2,4
Seventeen,21,34,3,4
Seventeen,22,36,4,4
Seventeen,23,22,5,4
Seventeen,24,29,6,4
Seventeen,25,15,1,5
Seventeen,26,15,2,5
Seventeen,27,20,3,5
Seventeen,28,21,4,5
Seventeen,29,16,5,5
Seventeen,30,10,6,5
