Season,Location,NumberOfTimes,Column,Row
Twenty-Four,1,0,1,1
Twenty-Four,2,0,2,1
Twenty-Four,3,0,3,1
Twenty-Four,4,0,4,1
Twenty-Four,5,0,5,1
Twenty-Four,6,0,6,1
Twenty-Four,7,16,1,2
Twenty-Four,8,4,2,2
Twenty-Four,9,10,3,2
Twenty-Four,10,6,4,2
Twenty-Four,11,14,5,2
Twenty-Four,12,2,6,2
Twenty-Four,13,34,1,3
Twenty-Four,14,11,2,3
Twenty-Four,15,22,3,3
Twenty-Four,16,18,4,3
Twenty-Four,17,24,5,3
Twenty-Four,18,10,6,3
Twenty-Four,19,33,1,4
Twenty-Four,20,17,2,4
Twenty-Four,21,32,3,4
Twenty-Four,22,33,4,4
Twenty-Four,23,33,5,4
Twenty-Four,24,29,6,4
Twenty-Four,25,19,1,5
Twenty-Four,26,6,2,5
Twenty-Four,27,21,3,5
Twenty-Four,28,29,4,5
Twenty-Four,29,13,5,5
Twenty-Four,30,22,6,5
