Season,Location,NumberOfTimes,Column,Row
Thirty-Three,1,0,1,1
Thirty-Three,2,0,2,1
Thirty-Three,3,1,3,1
Thirty-Three,4,0,4,1
Thirty-Three,5,0,5,1
Thirty-Three,6,0,6,1
Thirty-Three,7,14,1,2
Thirty-Three,8,14,2,2
Thirty-Three,9,7,3,2
Thirty-Three,10,16,4,2
Thirty-Three,11,14,5,2
Thirty-Three,12,6,6,2
Thirty-Three,13,24,1,3
Thirty-Three,14,31,2,3
Thirty-Three,15,26,3,3
Thirty-Three,16,34,4,3
Thirty-Three,17,16,5,3
Thirty-Three,18,27,6,3
Thirty-Three,19,18,1,4
Thirty-Three,20,26,2,4
Thirty-Three,21,30,3,4
Thirty-Three,22,30,4,4
Thirty-Three,23,41,5,4
Thirty-Three,24,19,6,4
Thirty-Three,25,11,1,5
Thirty-Three,26,11,2,5
Thirty-Three,27,11,3,5
Thirty-Three,28,12,4,5
Thirty-Three,29,12,5,5
Thirty-Three,30,3,6,5
