Season,Location,NumberOfTimes,Column,Row
Twenty-Six,1,0,1,1
Twenty-Six,2,0,2,1
Twenty-Six,3,0,3,1
Twenty-Six,4,0,4,1
Twenty-Six,5,0,5,1
Twenty-Six,6,0,6,1
Twenty-Six,7,15,1,2
Twenty-Six,8,4,2,2
Twenty-Six,9,17,3,2
Twenty-Six,10,4,4,2
Twenty-Six,11,7,5,2
Twenty-Six,12,6,6,2
Twenty-Six,13,39,1,3
Twenty-Six,14,5,2,3
Twenty-Six,15,22,3,3
Twenty-Six,16,21,4,3
Twenty-Six,17,18,5,3
Twenty-Six,18,14,6,3
Twenty-Six,19,38,1,4
Twenty-Six,20,14,2,4
Twenty-Six,21,40,3,4
Twenty-Six,22,26,4,4
Twenty-Six,23,27,5,4
Twenty-Six,24,25,6,4
Twenty-Six,25,25,1,5
Twenty-Six,26,12,2,5
Twenty-Six,27,22,3,5
Twenty-Six,28,21,4,5
Twenty-Six,29,14,5,5
Twenty-Six,30,15,6,5
