Season,Location,NumberOfTimes,Column,Row
Twenty-Three,1,0,1,1
Twenty-Three,2,0,2,1
Twenty-Three,3,0,3,1
Twenty-Three,4,0,4,1
Twenty-Three,5,0,5,1
Twenty-Three,6,0,6,1
Twenty-Three,7,15,1,2
Twenty-Three,8,3,2,2
Twenty-Three,9,10,3,2
Twenty-Three,10,7,4,2
Twenty-Three,11,7,5,2
Twenty-Three,12,9,6,2
Twenty-Three,13,32,1,3
Twenty-Three,14,10,2,3
Twenty-Three,15,26,3,3
Twenty-Three,16,19,4,3
Twenty-Three,17,24,5,3
Twenty-Three,18,20,6,3
Twenty-Three,19,35,1,4
Twenty-Three,20,16,2,4
Twenty-Three,21,38,3,4
Twenty-Three,22,27,4,4
Twenty-Three,23,30,5,4
Twenty-Three,24,22,6,4
Twenty-Three,25,16,1,5
Twenty-Three,26,7,2,5
Twenty-Three,27,24,3,5
Twenty-Three,28,18,4,5
Twenty-Three,29,16,5,5
Twenty-Three,30,23,6,5
