Season,Location,NumberOfTimes,Column,Row
Twenty-Eight,1,0,1,1
Twenty-Eight,2,0,2,1
Twenty-Eight,3,0,3,1
Twenty-Eight,4,0,4,1
Twenty-Eight,5,0,5,1
Twenty-Eight,6,0,6,1
Twenty-Eight,7,16,1,2
Twenty-Eight,8,6,2,2
Twenty-Eight,9,6,3,2
Twenty-Eight,10,5,4,2
Twenty-Eight,11,12,5,2
Twenty-Eight,12,6,6,2
Twenty-Eight,13,32,1,3
Twenty-Eight,14,15,2,3
Twenty-Eight,15,18,3,3
Twenty-Eight,16,24,4,3
Twenty-Eight,17,23,5,3
Twenty-Eight,18,16,6,3
Twenty-Eight,19,30,1,4
Twenty-Eight,20,23,2,4
Twenty-Eight,21,38,3,4
Twenty-Eight,22,29,4,4
Twenty-Eight,23,32,5,4
Twenty-Eight,24,24,6,4
Twenty-Eight,25,19,1,5
Twenty-Eight,26,11,2,5
Twenty-Eight,27,18,3,5
Twenty-Eight,28,16,4,5
Twenty-Eight,29,16,5,5
Twenty-Eight,30,16,6,5
