Season,Location,NumberOfTimes,Column,Row
Fifteen,1,1,1,1
Fifteen,2,0,2,1
Fifteen,3,0,3,1
Fifteen,4,0,4,1
Fifteen,5,0,5,1
Fifteen,6,0,6,1
Fifteen,7,6,1,2
Fifteen,8,2,2,2
Fifteen,9,4,3,2
Fifteen,10,2,4,2
Fifteen,11,1,5,2
Fifteen,12,2,6,2
Fifteen,13,31,1,3
Fifteen,14,24,2,3
Fifteen,15,26,3,3
Fifteen,16,21,4,3
Fifteen,17,25,5,3
Fifteen,18,18,6,3
Fifteen,19,40,1,4
Fifteen,20,26,2,4
Fifteen,21,34,3,4
Fifteen,22,33,4,4
Fifteen,23,28,5,4
Fifteen,24,15,6,4
Fifteen,25,25,1,5
Fifteen,26,8,2,5
Fifteen,27,25,3,5
Fifteen,28,13,4,5
Fifteen,29,24,5,5
Fifteen,30,13,6,5
