Season,Location,NumberOfTimes,Column,Row
Twenty-Seven,1,0,1,1
Twenty-Seven,2,0,2,1
Twenty-Seven,3,0,3,1
Twenty-Seven,4,1,4,1
Twenty-Seven,5,0,5,1
Twenty-Seven,6,0,6,1
Twenty-Seven,7,17,1,2
Twenty-Seven,8,3,2,2
Twenty-Seven,9,10,3,2
Twenty-Seven,10,3,4,2
Twenty-Seven,11,11,5,2
Twenty-Seven,12,3,6,2
Twenty-Seven,13,40,1,3
Twenty-Seven,14,6,2,3
Twenty-Seven,15,29,3,3
Twenty-Seven,16,19,4,3
Twenty-Seven,17,21,5,3
Twenty-Seven,18,19,6,3
Twenty-Seven,19,30,1,4
Twenty-Seven,20,9,2,4
Twenty-Seven,21,34,3,4
Twenty-Seven,22,31,4,4
Twenty-Seven,23,38,5,4
Twenty-Seven,24,19,6,4
Twenty-Seven,25,24,1,5
Twenty-Seven,26,5,2,5
Twenty-Seven,27,15,3,5
Twenty-Seven,28,21,4,5
Twenty-Seven,29,23,5,5
Twenty-Seven,30,18,6,5
