Season,Location,NumberOfTimes,Column,Row
Thirty-Two,1,0,1,1
Thirty-Two,2,0,2,1
Thirty-Two,3,0,3,1
Thirty-Two,4,0,4,1
Thirty-Two,5,1,5,1
Thirty-Two,6,0,6,1
Thirty-Two,7,12,1,2
Thirty-Two,8,15,2,2
Thirty-Two,9,6,3,2
Thirty-Two,10,11,4,2
Thirty-Two,11,9,5,2
Thirty-Two,12,10,6,2
Thirty-Two,13,25,1,3
Thirty-Two,14,29,2,3
Thirty-Two,15,23,3,3
Thirty-Two,16,21,4,3
Thirty-Two,17,23,5,3
Thirty-Two,18,17,6,3
Thirty-Two,19,27,1,4
Thirty-Two,20,25,2,4
Thirty-Two,21,35,3,4
Thirty-Two,22,29,4,4
Thirty-Two,23,28,5,4
Thirty-Two,24,22,6,4
Thirty-Two,25,22,1,5
Thirty-Two,26,14,2,5
Thirty-Two,27,12,3,5
Thirty-Two,28,17,4,5
Thirty-Two,29,11,5,5
Thirty-Two,30,11,6,5
