Season,Location,NumberOfTimes,Column,Row
Eighteen,1,0,1,1
Eighteen,2,0,2,1
Eighteen,3,0,3,1
Eighteen,4,0,4,1
Eighteen,5,0,5,1
Eighteen,6,0,6,1
Eighteen,7,4,1,2
Eighteen,8,2,2,2
Eighteen,9,2,3,2
Eighteen,10,2,4,2
Eighteen,11,2,5,2
Eighteen,12,2,6,2
Eighteen,13,22,1,3
Eighteen,14,19,2,3
Eighteen,15,17,3,3
Eighteen,16,26,4,3
Eighteen,17,24,5,3
Eighteen,18,23,6,3
Eighteen,19,30,1,4
Eighteen,20,21,2,4
Eighteen,21,23,3,4
Eighteen,22,20,4,4
Eighteen,23,21,5,4
Eighteen,24,17,6,4
Eighteen,25,17,1,5
Eighteen,26,9,2,5
Eighteen,27,14,3,5
Eighteen,28,11,4,5
Eighteen,29,10,5,5
Eighteen,30,7,6,5
