Season,Location,NumberOfTimes,Column,Row
Thirty-One,1,0,1,1
Thirty-One,2,0,2,1
Thirty-One,3,0,3,1
Thirty-One,4,0,4,1
Thirty-One,5,0,5,1
Thirty-One,6,0,6,1
Thirty-One,7,9,1,2
Thirty-One,8,8,2,2
Thirty-One,9,10,3,2
Thirty-One,10,8,4,2
Thirty-One,11,12,5,2
Thirty-One,12,5,6,2
Thirty-One,13,25,1,3
Thirty-One,14,22,2,3
Thirty-One,15,23,3,3
Thirty-One,16,12,4,3
Thirty-One,17,25,5,3
Thirty-One,18,17,6,3
Thirty-One,19,39,1,4
Thirty-One,20,26,2,4
Thirty-One,21,34,3,4
Thirty-One,22,28,4,4
Thirty-One,23,38,5,4
Thirty-One,24,18,6,4
Thirty-One,25,16,1,5
Thirty-One,26,16,2,5
Thirty-One,27,13,3,5
Thirty-One,28,17,4,5
Thirty-One,29,21,5,5
Thirty-One,30,11,6,5
