Season,Location,NumberOfTimes,Column,Row
Twenty-Five,1,0,1,1
Twenty-Five,2,0,2,1
Twenty-Five,3,2,3,1
Twenty-Five,4,0,4,1
Twenty-Five,5,0,5,1
Twenty-Five,6,0,6,1
Twenty-Five,7,10,1,2
Twenty-Five,8,3,2,2
Twenty-Five,9,16,3,2
Twenty-Five,10,9,4,2
Twenty-Five,11,12,5,2
Twenty-Five,12,8,6,2
Twenty-Five,13,34,1,3
Twenty-Five,14,7,2,3
Twenty-Five,15,20,3,3
Twenty-Five,16,18,4,3
Twenty-Five,17,22,5,3
Twenty-Five,18,19,6,3
Twenty-Five,19,41,1,4
Twenty-Five,20,10,2,4
Twenty-Five,21,23,3,4
Twenty-Five,22,29,4,4
Twenty-Five,23,42,5,4
Twenty-Five,24,22,6,4
Twenty-Five,25,26,1,5
Twenty-Five,26,3,2,5
Twenty-Five,27,19,3,5
Twenty-Five,28,19,4,5
Twenty-Five,29,24,5,5
Twenty-Five,30,19,6,5
