Season,Location,NumberOfTimes,Column,Row
Thirty,1,0,1,1
Thirty,2,0,2,1
Thirty,3,0,3,1
Thirty,4,0,4,1
Thirty,5,0,5,1
Thirty,6,0,6,1
Thirty,7,15,1,2
Thirty,8,11,2,2
Thirty,9,8,3,2
Thirty,10,10,4,2
Thirty,11,15,5,2
Thirty,12,8,6,2
Thirty,13,22,1,3
Thirty,14,16,2,3
Thirty,15,17,3,3
Thirty,16,25,4,3
Thirty,17,19,5,3
Thirty,18,16,6,3
Thirty,19,38,1,4
Thirty,20,33,2,4
Thirty,21,29,3,4
Thirty,22,26,4,4
Thirty,23,21,5,4
Thirty,24,26,6,4
Thirty,25,22,1,5
Thirty,26,12,2,5
Thirty,27,11,3,5
Thirty,28,22,4,5
Thirty,29,18,5,5
Thirty,30,12,6,5
