Season,Location,NumberOfTimes,Column,Row
Eleven,1,0,1,1
Eleven,2,0,2,1
Eleven,3,0,3,1
Eleven,4,0,4,1
Eleven,5,0,5,1
Eleven,6,0,6,1
Eleven,7,0,1,2
Eleven,8,0,2,2
Eleven,9,0,3,2
Eleven,10,1,4,2
Eleven,11,0,5,2
Eleven,12,0,6,2
Eleven,13,4,1,3
Eleven,14,2,2,3
Eleven,15,2,3,3
Eleven,16,4,4,3
Eleven,17,2,5,3
Eleven,18,2,6,3
Eleven,19,6,1,4
Eleven,20,5,2,4
Eleven,21,9,3,4
Eleven,22,6,4,4
Eleven,23,8,5,4
Eleven,24,6,6,4
Eleven,25,3,1,5
Eleven,26,8,2,5
Eleven,27,9,3,5
Eleven,28,7,4,5
Eleven,29,2,5,5
Eleven,30,2,6,5
