Season,Location,NumberOfTimes,Column,Row
Nineteen,1,1,1,1
Nineteen,2,0,2,1
Nineteen,3,0,3,1
Nineteen,4,0,4,1
Nineteen,5,0,5,1
Nineteen,6,0,6,1
Nineteen,7,12,1,2
Nineteen,8,2,2,2
Nineteen,9,5,3,2
Nineteen,10,3,4,2
Nineteen,11,4,5,2
Nineteen,12,3,6,2
Nineteen,13,26,1,3
Nineteen,14,27,2,3
Nineteen,15,20,3,3
Nineteen,16,26,4,3
Nineteen,17,24,5,3
Nineteen,18,16,6,3
Nineteen,19,32,1,4
Nineteen,20,18,2,4
Nineteen,21,34,3,4
Nineteen,22,23,4,4
Nineteen,23,39,5,4
Nineteen,24,30,6,4
Nineteen,25,31,1,5
Nineteen,26,8,2,5
Nineteen,27,19,3,5
Nineteen,28,16,4,5
Nineteen,29,18,5,5
Nineteen,30,14,6,5
