Season,Location,NumberOfTimes,Column,Row
Twelve,1,0,1,1
Twelve,2,0,2,1
Twelve,3,0,3,1
Twelve,4,0,4,1
Twelve,5,0,5,1
Twelve,6,1,6,1
Twelve,7,1,1,2
Twelve,8,1,2,2
Twelve,9,1,3,2
Twelve,10,1,4,2
Twelve,11,1,5,2
Twelve,12,2,6,2
Twelve,13,2,1,3
Twelve,14,3,2,3
Twelve,15,6,3,3
Twelve,16,8,4,3
Twelve,17,4,5,3
Twelve,18,4,6,3
Twelve,19,13,1,4
Twelve,20,17,2,4
Twelve,21,12,3,4
Twelve,22,15,4,4
Twelve,23,16,5,4
Twelve,24,6,6,4
Twelve,25,16,1,5
Twelve,26,7,2,5
Twelve,27,16,3,5
Twelve,28,11,4,5
Twelve,29,18,5,5
Twelve,30,10,6,5
