Season,Location,NumberOfTimes,Column,Row
Twenty-One,1,0,1,1
Twenty-One,2,0,2,1
Twenty-One,3,0,3,1
Twenty-One,4,0,4,1
Twenty-One,5,0,5,1
Twenty-One,6,0,6,1
Twenty-One,7,10,1,2
Twenty-One,8,4,2,2
Twenty-One,9,8,3,2
Twenty-One,10,5,4,2
Twenty-One,11,7,5,2
Twenty-One,12,5,6,2
Twenty-One,13,24,1,3
Twenty-One,14,4,2,3
Twenty-One,15,27,3,3
Twenty-One,16,29,4,3
Twenty-One,17,24,5,3
Twenty-One,18,17,6,3
Twenty-One,19,48,1,4
Twenty-One,20,19,2,4
Twenty-One,21,27,3,4
Twenty-One,22,31,4,4
Twenty-One,23,40,5,4
Twenty-One,24,21,6,4
Twenty-One,25,29,1,5
Twenty-One,26,5,2,5
Twenty-One,27,23,3,5
Twenty-One,28,15,4,5
Twenty-One,29,18,5,5
Twenty-One,30,15,6,5
