Season,Location,NumberOfTimes,Column,Row
Sixteen,1,0,1,1
Sixteen,2,0,2,1
Sixteen,3,0,3,1
Sixteen,4,0,4,1
Sixteen,5,0,5,1
Sixteen,6,0,6,1
Sixteen,7,4,1,2
Sixteen,8,2,2,2
Sixteen,9,4,3,2
Sixteen,10,8,4,2
Sixteen,11,6,5,2
Sixteen,12,4,6,2
Sixteen,13,29,1,3
Sixteen,14,20,2,3
Sixteen,15,24,3,3
Sixteen,16,25,4,3
Sixteen,17,28,5,3
Sixteen,18,18,6,3
Sixteen,19,41,1,4
Sixteen,20,21,2,4
Sixteen,21,32,3,4
Sixteen,22,26,4,4
Sixteen,23,26,5,4
Sixteen,24,25,6,4
Sixteen,25,19,1,5
Sixteen,26,14,2,5
Sixteen,27,28,3,5
Sixteen,28,18,4,5
Sixteen,29,19,5,5
Sixteen,30,8,6,5
