Season,Location,NumberOfTimes,Column,Row
Twenty-Eight,1,0,1,1
Twenty-Eight,2,0,2,1
Twenty-Eight,3,0,3,1
Twenty-Eight,4,0,4,1
Twenty-Eight,5,0,5,1
Twenty-Eight,6,0,6,1
Twenty-Eight,7,4,1,2
Twenty-Eight,8,5,2,2
Twenty-Eight,9,4,3,2
Twenty-Eight,10,2,4,2
Twenty-Eight,11,6,5,2
Twenty-Eight,12,3,6,2
Twenty-Eight,13,12,1,3
Twenty-Eight,14,8,2,3
Twenty-Eight,15,5,3,3
Twenty-Eight,16,10,4,3
Twenty-Eight,17,8,5,3
Twenty-Eight,18,7,6,3
Twenty-Eight,19,16,1,4
Twenty-Eight,20,15,2,4
Twenty-Eight,21,8,3,4
Twenty-Eight,22,17,4,4
Twenty-Eight,23,12,5,4
Twenty-Eight,24,10,6,4
Twenty-Eight,25,21,1,5
Twenty-Eight,26,8,2,5
Twenty-Eight,27,10,3,5
Twenty-Eight,28,17,4,5
Twenty-Eight,29,8,5,5
Twenty-Eight,30,9,6,5
