Season,Location,NumberOfTimes,Column,Row
Twenty-One,1,0,1,1
Twenty-One,2,0,2,1
Twenty-One,3,0,3,1
Twenty-One,4,0,4,1
Twenty-One,5,0,5,1
Twenty-One,6,0,6,1
Twenty-One,7,1,1,2
Twenty-One,8,0,2,2
Twenty-One,9,0,3,2
Twenty-One,10,2,4,2
Twenty-One,11,2,5,2
Twenty-One,12,1,6,2
Twenty-One,13,13,1,3
Twenty-One,14,1,2,3
Twenty-One,15,13,3,3
Twenty-One,16,12,4,3
Twenty-One,17,10,5,3
Twenty-One,18,7,6,3
Twenty-One,19,25,1,4
Twenty-One,20,7,2,4
Twenty-One,21,16,3,4
Twenty-One,22,17,4,4
Twenty-One,23,15,5,4
Twenty-One,24,13,6,4
Twenty-One,25,21,1,5
Twenty-One,26,6,2,5
Twenty-One,27,16,3,5
Twenty-One,28,9,4,5
Twenty-One,29,12,5,5
Twenty-One,30,11,6,5
