Season,Location,NumberOfTimes,Column,Row
Twenty-Six,1,0,1,1
Twenty-Six,2,0,2,1
Twenty-Six,3,0,3,1
Twenty-Six,4,0,4,1
Twenty-Six,5,0,5,1
Twenty-Six,6,0,6,1
Twenty-Six,7,6,1,2
Twenty-Six,8,2,2,2
Twenty-Six,9,0,3,2
Twenty-Six,10,0,4,2
Twenty-Six,11,2,5,2
Twenty-Six,12,1,6,2
Twenty-Six,13,13,1,3
Twenty-Six,14,4,2,3
Twenty-Six,15,12,3,3
Twenty-Six,16,14,4,3
Twenty-Six,17,14,5,3
Twenty-Six,18,5,6,3
Twenty-Six,19,20,1,4
Twenty-Six,20,3,2,4
Twenty-Six,21,9,3,4
Twenty-Six,22,18,4,4
Twenty-Six,23,15,5,4
Twenty-Six,24,12,6,4
Twenty-Six,25,19,1,5
Twenty-Six,26,5,2,5
Twenty-Six,27,16,3,5
Twenty-Six,28,8,4,5
Twenty-Six,29,15,5,5
Twenty-Six,30,11,6,5
