Season,Location,NumberOfTimes,Column,Row
Twenty-Four,1,0,1,1
Twenty-Four,2,0,2,1
Twenty-Four,3,0,3,1
Twenty-Four,4,0,4,1
Twenty-Four,5,0,5,1
Twenty-Four,6,0,6,1
Twenty-Four,7,4,1,2
Twenty-Four,8,0,2,2
Twenty-Four,9,2,3,2
Twenty-Four,10,3,4,2
Twenty-Four,11,1,5,2
Twenty-Four,12,1,6,2
Twenty-Four,13,19,1,3
Twenty-Four,14,3,2,3
Twenty-Four,15,11,3,3
Twenty-Four,16,13,4,3
Twenty-Four,17,11,5,3
Twenty-Four,18,8,6,3
Twenty-Four,19,22,1,4
Twenty-Four,20,7,2,4
Twenty-Four,21,18,3,4
Twenty-Four,22,15,4,4
Twenty-Four,23,13,5,4
Twenty-Four,24,7,6,4
Twenty-Four,25,17,1,5
Twenty-Four,26,4,2,5
Twenty-Four,27,14,3,5
Twenty-Four,28,19,4,5
Twenty-Four,29,10,5,5
Twenty-Four,30,7,6,5
