Season,Location,NumberOfTimes,Column,Row
Thirty-Two,1,0,1,1
Thirty-Two,2,0,2,1
Thirty-Two,3,0,3,1
Thirty-Two,4,0,4,1
Thirty-Two,5,0,5,1
Thirty-Two,6,0,6,1
Thirty-Two,7,5,1,2
Thirty-Two,8,5,2,2
Thirty-Two,9,5,3,2
Thirty-Two,10,4,4,2
Thirty-Two,11,6,5,2
Thirty-Two,12,2,6,2
Thirty-Two,13,5,1,3
Thirty-Two,14,13,2,3
Thirty-Two,15,11,3,3
Thirty-Two,16,6,4,3
Thirty-Two,17,14,5,3
Thirty-Two,18,8,6,3
Thirty-Two,19,8,1,4
Thirty-Two,20,19,2,4
Thirty-Two,21,24,3,4
Thirty-Two,22,14,4,4
Thirty-Two,23,9,5,4
Thirty-Two,24,10,6,4
Thirty-Two,25,12,1,5
Thirty-Two,26,6,2,5
Thirty-Two,27,12,3,5
Thirty-Two,28,13,4,5
Thirty-Two,29,11,5,5
Thirty-Two,30,4,6,5
