Season,Location,NumberOfTimes,Column,Row
Twenty-Three,1,0,1,1
Twenty-Three,2,0,2,1
Twenty-Three,3,0,3,1
Twenty-Three,4,0,4,1
Twenty-Three,5,0,5,1
Twenty-Three,6,0,6,1
Twenty-Three,7,4,1,2
Twenty-Three,8,2,2,2
Twenty-Three,9,4,3,2
Twenty-Three,10,5,4,2
Twenty-Three,11,2,5,2
Twenty-Three,12,3,6,2
Twenty-Three,13,15,1,3
Twenty-Three,14,6,2,3
Twenty-Three,15,14,3,3
Twenty-Three,16,11,4,3
Twenty-Three,17,11,5,3
Twenty-Three,18,1,6,3
Twenty-Three,19,20,1,4
Twenty-Three,20,3,2,4
Twenty-Three,21,14,3,4
Twenty-Three,22,20,4,4
Twenty-Three,23,17,5,4
Twenty-Three,24,6,6,4
Twenty-Three,25,14,1,5
Twenty-Three,26,9,2,5
Twenty-Three,27,15,3,5
Twenty-Three,28,11,4,5
Twenty-Three,29,9,5,5
Twenty-Three,30,11,6,5
