Season,Location,NumberOfTimes,Column,Row
Fourteen,1,0,1,1
Fourteen,2,0,2,1
Fourteen,3,0,3,1
Fourteen,4,0,4,1
Fourteen,5,0,5,1
Fourteen,6,0,6,1
Fourteen,7,3,1,2
Fourteen,8,7,2,2
Fourteen,9,5,3,2
Fourteen,10,3,4,2
Fourteen,11,2,5,2
Fourteen,12,1,6,2
Fourteen,13,6,1,3
Fourteen,14,15,2,3
Fourteen,15,11,3,3
Fourteen,16,14,4,3
Fourteen,17,15,5,3
Fourteen,18,7,6,3
Fourteen,19,16,1,4
Fourteen,20,11,2,4
Fourteen,21,25,3,4
Fourteen,22,19,4,4
Fourteen,23,11,5,4
Fourteen,24,5,6,4
Fourteen,25,10,1,5
Fourteen,26,7,2,5
Fourteen,27,11,3,5
Fourteen,28,8,4,5
Fourteen,29,10,5,5
Fourteen,30,5,6,5
