Season,Location,NumberOfTimes,Column,Row
Nineteen,1,0,1,1
Nineteen,2,0,2,1
Nineteen,3,0,3,1
Nineteen,4,0,4,1
Nineteen,5,0,5,1
Nineteen,6,0,6,1
Nineteen,7,4,1,2
Nineteen,8,1,2,2
Nineteen,9,3,3,2
Nineteen,10,2,4,2
Nineteen,11,3,5,2
Nineteen,12,0,6,2
Nineteen,13,17,1,3
Nineteen,14,7,2,3
Nineteen,15,8,3,3
Nineteen,16,13,4,3
Nineteen,17,14,5,3
Nineteen,18,6,6,3
Nineteen,19,22,1,4
Nineteen,20,12,2,4
Nineteen,21,12,3,4
Nineteen,22,14,4,4
Nineteen,23,15,5,4
Nineteen,24,12,6,4
Nineteen,25,21,1,5
Nineteen,26,10,2,5
Nineteen,27,9,3,5
Nineteen,28,8,4,5
Nineteen,29,9,5,5
Nineteen,30,5,6,5
