Season,Location,NumberOfTimes,Column,Row
Sixteen,1,0,1,1
Sixteen,2,0,2,1
Sixteen,3,0,3,1
Sixteen,4,0,4,1
Sixteen,5,0,5,1
Sixteen,6,0,6,1
Sixteen,7,4,1,2
Sixteen,8,0,2,2
Sixteen,9,4,3,2
Sixteen,10,0,4,2
Sixteen,11,2,5,2
Sixteen,12,0,6,2
Sixteen,13,11,1,3
Sixteen,14,3,2,3
Sixteen,15,10,3,3
Sixteen,16,9,4,3
Sixteen,17,11,5,3
Sixteen,18,7,6,3
Sixteen,19,21,1,4
Sixteen,20,16,2,4
Sixteen,21,20,3,4
Sixteen,22,23,4,4
Sixteen,23,19,5,4
Sixteen,24,8,6,4
Sixteen,25,13,1,5
Sixteen,26,10,2,5
Sixteen,27,13,3,5
Sixteen,28,8,4,5
Sixteen,29,13,5,5
Sixteen,30,4,6,5
