Season,Location,NumberOfTimes,Column,Row
Twelve,1,0,1,1
Twelve,2,0,2,1
Twelve,3,0,3,1
Twelve,4,0,4,1
Twelve,5,0,5,1
Twelve,6,0,6,1
Twelve,7,0,1,2
Twelve,8,2,2,2
Twelve,9,0,3,2
Twelve,10,0,4,2
Twelve,11,0,5,2
Twelve,12,1,6,2
Twelve,13,1,1,3
Twelve,14,0,2,3
Twelve,15,0,3,3
Twelve,16,0,4,3
Twelve,17,2,5,3
Twelve,18,0,6,3
Twelve,19,4,1,4
Twelve,20,4,2,4
Twelve,21,2,3,4
Twelve,22,9,4,4
Twelve,23,8,5,4
Twelve,24,5,6,4
Twelve,25,8,1,5
Twelve,26,4,2,5
Twelve,27,9,3,5
Twelve,28,17,4,5
Twelve,29,15,5,5
Twelve,30,4,6,5
