Season,Location,NumberOfTimes,Column,Row
Twenty-Two,1,0,1,1
Twenty-Two,2,0,2,1
Twenty-Two,3,0,3,1
Twenty-Two,4,0,4,1
Twenty-Two,5,1,5,1
Twenty-Two,6,0,6,1
Twenty-Two,7,6,1,2
Twenty-Two,8,2,2,2
Twenty-Two,9,3,3,2
Twenty-Two,10,3,4,2
Twenty-Two,11,5,5,2
Twenty-Two,12,1,6,2
Twenty-Two,13,16,1,3
Twenty-Two,14,7,2,3
Twenty-Two,15,12,3,3
Twenty-Two,16,10,4,3
Twenty-Two,17,10,5,3
Twenty-Two,18,1,6,3
Twenty-Two,19,19,1,4
Twenty-Two,20,10,2,4
Twenty-Two,21,15,3,4
Twenty-Two,22,13,4,4
Twenty-Two,23,14,5,4
Twenty-Two,24,9,6,4
Twenty-Two,25,14,1,5
Twenty-Two,26,3,2,5
Twenty-Two,27,11,3,5
Twenty-Two,28,22,4,5
Twenty-Two,29,12,5,5
Twenty-Two,30,10,6,5
