Season,Location,NumberOfTimes,Column,Row
Twenty-Seven,1,0,1,1
Twenty-Seven,2,0,2,1
Twenty-Seven,3,0,3,1
Twenty-Seven,4,0,4,1
Twenty-Seven,5,0,5,1
Twenty-Seven,6,0,6,1
Twenty-Seven,7,6,1,2
Twenty-Seven,8,1,2,2
Twenty-Seven,9,3,3,2
Twenty-Seven,10,4,4,2
Twenty-Seven,11,3,5,2
Twenty-Seven,12,3,6,2
Twenty-Seven,13,19,1,3
Twenty-Seven,14,2,2,3
Twenty-Seven,15,5,3,3
Twenty-Seven,16,13,4,3
Twenty-Seven,17,13,5,3
Twenty-Seven,18,9,6,3
Twenty-Seven,19,19,1,4
Twenty-Seven,20,5,2,4
Twenty-Seven,21,16,3,4
Twenty-Seven,22,14,4,4
Twenty-Seven,23,14,5,4
Twenty-Seven,24,8,6,4
Twenty-Seven,25,21,1,5
Twenty-Seven,26,7,2,5
Twenty-Seven,27,12,3,5
Twenty-Seven,28,15,4,5
Twenty-Seven,29,9,5,5
Twenty-Seven,30,7,6,5
