Season,Location,NumberOfTimes,Column,Row
Eighteen,1,0,1,1
Eighteen,2,0,2,1
Eighteen,3,0,3,1
Eighteen,4,0,4,1
Eighteen,5,0,5,1
Eighteen,6,0,6,1
Eighteen,7,3,1,2
Eighteen,8,0,2,2
Eighteen,9,1,3,2
Eighteen,10,1,4,2
Eighteen,11,2,5,2
Eighteen,12,0,6,2
Eighteen,13,11,1,3
Eighteen,14,5,2,3
Eighteen,15,11,3,3
Eighteen,16,8,4,3
Eighteen,17,11,5,3
Eighteen,18,5,6,3
Eighteen,19,21,1,4
Eighteen,20,8,2,4
Eighteen,21,10,3,4
Eighteen,22,11,4,4
Eighteen,23,11,5,4
Eighteen,24,3,6,4
Eighteen,25,12,1,5
Eighteen,26,7,2,5
Eighteen,27,8,3,5
Eighteen,28,10,4,5
Eighteen,29,11,5,5
Eighteen,30,5,6,5
