Season,Location,NumberOfTimes,Column,Row
Thirty-Three,1,0,1,1
Thirty-Three,2,0,2,1
Thirty-Three,3,0,3,1
Thirty-Three,4,0,4,1
Thirty-Three,5,0,5,1
Thirty-Three,6,0,6,1
Thirty-Three,7,4,1,2
Thirty-Three,8,2,2,2
Thirty-Three,9,9,3,2
Thirty-Three,10,2,4,2
Thirty-Three,11,3,5,2
Thirty-Three,12,3,6,2
Thirty-Three,13,7,1,3
Thirty-Three,14,12,2,3
Thirty-Three,15,11,3,3
Thirty-Three,16,13,4,3
Thirty-Three,17,9,5,3
Thirty-Three,18,6,6,3
Thirty-Three,19,14,1,4
Thirty-Three,20,16,2,4
Thirty-Three,21,19,3,4
Thirty-Three,22,17,4,4
Thirty-Three,23,16,5,4
Thirty-Three,24,10,6,4
Thirty-Three,25,6,1,5
Thirty-Three,26,13,2,5
Thirty-Three,27,12,3,5
Thirty-Three,28,14,4,5
Thirty-Three,29,9,5,5
Thirty-Three,30,3,6,5
