Season,Location,NumberOfTimes,Column,Row
Seventeen,1,0,1,1
Seventeen,2,0,2,1
Seventeen,3,0,3,1
Seventeen,4,0,4,1
Seventeen,5,0,5,1
Seventeen,6,0,6,1
Seventeen,7,1,1,2
Seventeen,8,1,2,2
Seventeen,9,2,3,2
Seventeen,10,2,4,2
Seventeen,11,0,5,2
Seventeen,12,0,6,2
Seventeen,13,14,1,3
Seventeen,14,9,2,3
Seventeen,15,11,3,3
Seventeen,16,9,4,3
Seventeen,17,11,5,3
Seventeen,18,5,6,3
Seventeen,19,20,1,4
Seventeen,20,13,2,4
Seventeen,21,21,3,4
Seventeen,22,24,4,4
Seventeen,23,12,5,4
Seventeen,24,6,6,4
Seventeen,25,23,1,5
Seventeen,26,9,2,5
Seventeen,27,9,3,5
Seventeen,28,14,4,5
Seventeen,29,11,5,5
Seventeen,30,3,6,5
