Season,Location,NumberOfTimes,Column,Row
Twenty-Five,1,0,1,1
Twenty-Five,2,0,2,1
Twenty-Five,3,0,3,1
Twenty-Five,4,0,4,1
Twenty-Five,5,0,5,1
Twenty-Five,6,0,6,1
Twenty-Five,7,7,1,2
Twenty-Five,8,0,2,2
Twenty-Five,9,3,3,2
Twenty-Five,10,5,4,2
Twenty-Five,11,1,5,2
Twenty-Five,12,0,6,2
Twenty-Five,13,13,1,3
Twenty-Five,14,1,2,3
Twenty-Five,15,9,3,3
Twenty-Five,16,11,4,3
Twenty-Five,17,8,5,3
Twenty-Five,18,10,6,3
Twenty-Five,19,20,1,4
Twenty-Five,20,8,2,4
Twenty-Five,21,12,3,4
Twenty-Five,22,20,4,4
Twenty-Five,23,11,5,4
Twenty-Five,24,14,6,4
Twenty-Five,25,23,1,5
Twenty-Five,26,4,2,5
Twenty-Five,27,16,3,5
Twenty-Five,28,13,4,5
Twenty-Five,29,11,5,5
Twenty-Five,30,9,6,5
