Season,Location,NumberOfTimes,Column,Row
Twenty,1,0,1,1
Twenty,2,0,2,1
Twenty,3,0,3,1
Twenty,4,0,4,1
Twenty,5,0,5,1
Twenty,6,0,6,1
Twenty,7,3,1,2
Twenty,8,1,2,2
Twenty,9,2,3,2
Twenty,10,1,4,2
Twenty,11,3,5,2
Twenty,12,2,6,2
Twenty,13,17,1,3
Twenty,14,3,2,3
Twenty,15,13,3,3
Twenty,16,14,4,3
Twenty,17,11,5,3
Twenty,18,7,6,3
Twenty,19,27,1,4
Twenty,20,3,2,4
Twenty,21,16,3,4
Twenty,22,14,4,4
Twenty,23,6,5,4
Twenty,24,14,6,4
Twenty,25,13,1,5
Twenty,26,3,2,5
Twenty,27,16,3,5
Twenty,28,14,4,5
Twenty,29,17,5,5
Twenty,30,7,6,5
