Season,Location,NumberOfTimes,Column,Row
Thirty,1,0,1,1
Thirty,2,0,2,1
Thirty,3,0,3,1
Thirty,4,0,4,1
Thirty,5,0,5,1
Thirty,6,0,6,1
Thirty,7,4,1,2
Thirty,8,3,2,2
Thirty,9,0,3,2
Thirty,10,4,4,2
Thirty,11,6,5,2
Thirty,12,1,6,2
Thirty,13,14,1,3
Thirty,14,8,2,3
Thirty,15,17,3,3
Thirty,16,8,4,3
Thirty,17,8,5,3
Thirty,18,6,6,3
Thirty,19,15,1,4
Thirty,20,19,2,4
Thirty,21,17,3,4
Thirty,22,13,4,4
Thirty,23,11,5,4
Thirty,24,11,6,4
Thirty,25,7,1,5
Thirty,26,11,2,5
Thirty,27,15,3,5
Thirty,28,16,4,5
Thirty,29,10,5,5
Thirty,30,5,6,5
