Season,Location,NumberOfTimes,Column,Row
Twenty-Nine,1,0,1,1
Twenty-Nine,2,0,2,1
Twenty-Nine,3,0,3,1
Twenty-Nine,4,0,4,1
Twenty-Nine,5,0,5,1
Twenty-Nine,6,0,6,1
Twenty-Nine,7,8,1,2
Twenty-Nine,8,1,2,2
Twenty-Nine,9,5,3,2
Twenty-Nine,10,1,4,2
Twenty-Nine,11,4,5,2
Twenty-Nine,12,3,6,2
Twenty-Nine,13,8,1,3
Twenty-Nine,14,17,2,3
Twenty-Nine,15,8,3,3
Twenty-Nine,16,8,4,3
Twenty-Nine,17,7,5,3
Twenty-Nine,18,12,6,3
Twenty-Nine,19,15,1,4
Twenty-Nine,20,16,2,4
Twenty-Nine,21,13,3,4
Twenty-Nine,22,10,4,4
Twenty-Nine,23,12,5,4
Twenty-Nine,24,12,6,4
Twenty-Nine,25,12,1,5
Twenty-Nine,26,12,2,5
Twenty-Nine,27,12,3,5
Twenty-Nine,28,10,4,5
Twenty-Nine,29,13,5,5
Twenty-Nine,30,11,6,5
