Season,Location,NumberOfTimes,Column,Row
Thirteen,1,0,1,1
Thirteen,2,0,2,1
Thirteen,3,0,3,1
Thirteen,4,0,4,1
Thirteen,5,0,5,1
Thirteen,6,0,6,1
Thirteen,7,2,1,2
Thirteen,8,3,2,2
Thirteen,9,3,3,2
Thirteen,10,1,4,2
Thirteen,11,2,5,2
Thirteen,12,0,6,2
Thirteen,13,5,1,3
Thirteen,14,7,2,3
Thirteen,15,7,3,3
Thirteen,16,8,4,3
Thirteen,17,5,5,3
Thirteen,18,5,6,3
Thirteen,19,15,1,4
Thirteen,20,5,2,4
Thirteen,21,14,3,4
Thirteen,22,15,4,4
Thirteen,23,6,5,4
Thirteen,24,5,6,4
Thirteen,25,16,1,5
Thirteen,26,13,2,5
Thirteen,27,10,3,5
Thirteen,28,25,4,5
Thirteen,29,17,5,5
Thirteen,30,15,6,5
