Season,Location,NumberOfTimes,Column,Row
Eleven,1,0,1,1
Eleven,2,0,2,1
Eleven,3,0,3,1
Eleven,4,0,4,1
Eleven,5,0,5,1
Eleven,6,0,6,1
Eleven,7,0,1,2
Eleven,8,1,2,2
Eleven,9,0,3,2
Eleven,10,0,4,2
Eleven,11,0,5,2
Eleven,12,0,6,2
Eleven,13,0,1,3
Eleven,14,0,2,3
Eleven,15,1,3,3
Eleven,16,0,4,3
Eleven,17,0,5,3
Eleven,18,0,6,3
Eleven,19,2,1,4
Eleven,20,0,2,4
Eleven,21,2,3,4
Eleven,22,7,4,4
Eleven,23,2,5,4
Eleven,24,1,6,4
Eleven,25,8,1,5
Eleven,26,0,2,5
Eleven,27,7,3,5
Eleven,28,8,4,5
Eleven,29,6,5,5
Eleven,30,0,6,5
